,rank,names,nationality,gender,age_category,time,race
1330,1331,Jiajia ZHENG,China,Women,45-49,13:41:13,OCC
1331,1332,Suwannee SAELIM,Thailand,Women,45-49,13:41:37,OCC
1332,1333,Karine CHAMBAULT,France,Women,50-54,13:42:40,OCC
1333,1334,Sau Pik Elza CHAN,"Hong Kong, China",Women,50-54,13:43:18,OCC
1334,1335,Sompong BANYATLERTTAWON,Thailand,Men,60-64,13:43:21,OCC
1335,1336,Chi Wai Harry HO,"Hong Kong, China",Men,55-59,13:44:10,OCC
1336,1337,Florina ROBLES CAPETILLO,Mexico,Women,65-69,13:44:32,OCC
1337,1338,David LITTLE,Australia,Men,60-64,13:44:43,OCC
1338,1339,Victor TOLEDANO GALA,Spain,Men,40-44,13:45:27,OCC
1339,1340,Saroach BUABUCHA,Thailand,Men,55-59,13:45:40,OCC
1340,1341,Eka Mahendra AMRI,Indonesia,Men,40-44,13:46:38,OCC
1341,1342,Sergi RODRIGUEZ,Spain,Men,45-49,13:46:41,OCC
1342,1343,Stephanie CHUTRY,France,Women,50-54,13:48:09,OCC
1343,1344,Juliana LARSON,United States of america,Women,55-59,13:48:26,OCC
1344,1345,Toshiyuki AOKI,Japan,Men,55-59,13:48:36,OCC
1345,1346,Paul TROIANO,United States of america,Men,55-59,13:49:05,OCC
1346,1347,Carlos MEZA,Costa Rica,Men,60-64,13:49:44,OCC
1347,1348,Songchol MAHAROM,Thailand,Women,45-49,13:51:07,OCC
1348,1349,Ivan CAKIĆ,Serbia,Men,35-39,13:51:23,OCC
1349,1350,Florian PUECH,France,Men,40-44,13:51:35,OCC
1350,1351,Wisit MARIN,Thailand,Men,40-44,13:51:40,OCC
1351,1352,Jezabel GARCIA FLORES,Mexico,Women,45-49,13:51:44,OCC
1352,1353,Sebastien POURSAC,France,Men,40-44,13:52:22,OCC
1353,1354,Rata SUWANNAJAK,Thailand,Women,35-39,13:53:26,OCC
1354,1355,Woraphan KIJSAWASDI,Thailand,Women,35-39,13:53:58,OCC
1355,1356,Bogdan ALBULESCU,Romania,Men,40-44,13:54:02,OCC
1356,1357,Yoke Li THOW,Malaysia,Women,50-54,13:55:35,OCC
1357,1358,Pan Sun LEE,"Hong Kong, China",Men,50-54,13:56:03,OCC
1358,1359,Radosław WOZNICZKA,Poland,Men,50-54,13:57:04,OCC
1359,1360,Peter JOHNSTON,Ireland,Men,55-59,13:59:01,OCC
1360,1361,Arwen BAGGEN,Netherlands,Women,45-49,13:59:03,OCC
1361,1362,Taeyun KIM,South Korea,Women,50-54,13:59:34,OCC
1362,1363,James CHU,Bahamas,Men,45-49,13:59:58,OCC
1363,1364,He JIANG,China,Men,50-54,14:00:49,OCC
1364,1365,Madeleine Thuy NGUYEN,United States of america,Women,40-44,14:02:34,OCC
1365,1366,Constantin DINU,France,Men,50-54,14:04:15,OCC
1366,1367,Ionela DINU,France,Women,50-54,14:04:17,OCC
1367,1368,Pinggang YE,China,Men,50-54,14:05:11,OCC
1368,1369,Yan WANG,China,Women,40-44,14:06:22,OCC
1369,1370,Masako OGATA,Japan,Women,55-59,14:06:53,OCC
1370,1371,Jane LIANG,United States of america,Women,60-64,14:06:54,OCC
1371,1372,Bertrand FURSTENBERGER,France,Men,55-59,14:07:23,OCC
1372,1373,Ros Mery MEGAWATI,Indonesia,Women,40-44,14:07:51,OCC
1373,1374,Nur Tasya ABDULLAH LIN,Brunei,Women,45-49,14:08:16,OCC
1374,1375,Shiyan XIONG,China,Women,35-39,14:08:30,OCC
1375,1376,David HINGLUONG LAU,Malaysia,Men,50-54,14:08:51,OCC
1376,1377,Tiago CLEMENTE,Brazil,Men,20-34,14:08:58,OCC
1377,1378,Monique CAU,France,Women,50-54,14:09:20,OCC
1378,1379,Isabel SICHERLE,Brazil,Women,55-59,14:10:50,OCC
1379,1380,Gilda GAN,Canada,Women,50-54,14:12:02,OCC
1380,1381,Laurent REIMINGER,France,Men,55-59,14:12:38,OCC
1381,1382,Di AN,China,Women,40-44,14:12:51,OCC
1382,1383,Fabian Adrian QUINTEROS,Argentina,Men,55-59,14:13:01,OCC
1383,1384,Piyaratch ASA,Thailand,Men,35-39,14:13:05,OCC
1384,1385,Denis CLIGNIEZ,Belgium,Men,35-39,14:14:12,OCC
1385,1386,Yuk CHAN,"Hong Kong, China",Men,50-54,14:15:21,OCC
1386,1387,Man Shun Tim YUEN,"Hong Kong, China",Men,50-54,14:16:06,OCC
